,Disaster,Start_Datetime,End_Datetime
0,Drought,1998-01-01,1999-01-01
1,Flood,1999-01-10,1999-05-19
2,Earthquake,1999-01-25,1999-01-26
3,Flood,1999-10-28,1999-12-31
4,Flood,2000-05-18,2000-05-24
5,Wildfire,2001-08-01,2001-09-01
6,Drought,2002-01-01,2003-01-01
7,Flood,2002-04-24,2002-04-29
8,Flood,2003-08-01,2003-12-01
9,Flood,2004-01-01,2004-06-28
10,Drought,2004-01-01,2005-01-01
11,Flood,2005-04-12,2005-05-07
12,Flood,2005-09-15,2005-11-17
13,Flood,2006-01-01,2006-04-27
14,Drought,2006-01-01,2007-01-01
15,Flood,2007-10-20,2007-10-26
16,Flood,2008-01-01,2008-05-19
17,Flood,2008-11-16,2009-01-12
18,Drought,2009-01-01,2010-01-01
19,Wildfire,2010-01-01,2010-04-06
20,Flood,2010-10-30,2011-01-12
21,Flood,2011-02-10,2011-06-05
22,Flood,2011-09-01,2011-12-31
23,Flood,2012-03-15,2012-05-14
24,Earthquake,2013-02-09,2013-02-09
25,Flood,2013-09-15,2013-12-01
26,Drought,2015-08-01,2016-02-01
27,Storm,2016-09-20,2016-09-23
28,Flood,2017-03-17,2017-05-16
29,Flood,2017-12-01,2018-01-07
30,Drought,2018-01-01,2020-01-01
31,Flood,2019-02-20,2019-02-26
32,Flood,2020-06-10,2020-07-10
